team,year,medal,sport,name
Great Britain,1896,Bronze,Cycling,Edward Battel
United States,1896,Silver,Athletics,Arthur Charles Blake
Germany,1896,Gold,Gymnastics,Conrad Helmut Fritz Bcker
Germany,1896,Gold,Gymnastics,Conrad Helmut Fritz Bcker
Great Britain,1896,Gold,Tennis,John Mary Pius Boland
United States,1896,Gold,Athletics,"Thomas Edmund ""Tom"" Burke"
United States,1896,Gold,Athletics,"Thomas Edmund ""Tom"" Burke"
France,1896,Silver,Fencing,Eugne Henri Callot
United States,1896,Gold,Athletics,Ellery Harding Clark
United States,1896,Gold,Athletics,Ellery Harding Clark
United States,1896,Silver,Athletics,James Brendan Bennet Connolly
United States,1896,Bronze,Athletics,James Brendan Bennet Connolly
United States,1896,Gold,Athletics,James Brendan Bennet Connolly
United States,1896,Gold,Athletics,"Thomas Pelham ""Tom"" Curtis"
Hungary,1896,Silver,Athletics,Nndor Dni
Great Britain,1896,Gold,Weightlifting,Launceston Elliot
Great Britain,1896,Silver,Weightlifting,Launceston Elliot
Australia,1896,Gold,Athletics,"Edwin Harold ""Teddy"" Flack"
Australia,1896,Gold,Athletics,"Edwin Harold ""Teddy"" Flack"
France,1896,Bronze,Cycling,Marie Lon Flameng
France,1896,Silver,Cycling,Marie Lon Flameng
France,1896,Gold,Cycling,Marie Lon Flameng
Germany,1896,Gold,Gymnastics,Alfred Flatow
Germany,1896,Gold,Gymnastics,Alfred Flatow
Germany,1896,Silver,Gymnastics,Alfred Flatow
Germany,1896,Gold,Gymnastics,Alfred Flatow
Germany,1896,Gold,Gymnastics,Gustav Felix Flatow
Germany,1896,Gold,Gymnastics,Gustav Felix Flatow
United States,1896,Silver,Athletics,"Robert ""Bob"" Garrett"
United States,1896,Silver,Athletics,"Robert ""Bob"" Garrett"
United States,1896,Gold,Athletics,"Robert ""Bob"" Garrett"
United States,1896,Gold,Athletics,"Robert ""Bob"" Garrett"
Great Britain,1896,Bronze,Athletics,Charles Henry Stuart Gmelin
Germany,1896,Silver,Cycling,Anton Gdrich
Great Britain,1896,Silver,Athletics,Grantley Thomas Smart Goulding
