Year,Athletics,Gymnastics,Swimming,Shooting,Cycling,Fencing,Rowing,Cross Country Skiing,Alpine Skiing,Wrestling,Football,Sailing,Equestrianism,Canoeing,Boxing,Speed Skating,Ice Hockey,Hockey,Biathlon,Basketball,Weightlifting,Water Polo,Judo,Handball,Art Competitions,Volleyball,Bobsleigh,Tennis,Diving,Ski Jumping,Archery,Figure Skating,Table Tennis,Modern Pentathlon,Short Track Speed Skating,Luge,Badminton,Nordic Combined,Freestyle Skiing,Snowboarding,Synchronized Swimming,Baseball
1896,106.0,97.0,18.0,65.0,41.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,234.0,135.0,131.0,221.0,92.0,317.0,133.0,0.0,0.0,0.0,35.0,280.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904,201.0,458.0,64.0,0.0,61.0,28.0,46.0,0.0,0.0,48.0,36.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,57.0,5.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1906,470.0,156.0,78.0,320.0,138.0,161.0,200.0,0.0,0.0,39.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908,778.0,349.0,150.0,444.0,269.0,240.0,87.0,0.0,0.0,133.0,72.0,64.0,0.0,0.0,42.0,0.0,0.0,68.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,84.0,47.0,0.0,77.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,962.0,310.0,201.0,794.0,242.0,379.0,197.0,0.0,0.0,170.0,163.0,109.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,33.0,0.0,0.0,173.0,86.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,849.0,263.0,209.0,838.0,212.0,350.0,144.0,0.0,0.0,161.0,190.0,101.0,132.0,0.0,116.0,0.0,60.0,51.0,0.0,0.0,53.0,101.0,0.0,0.0,11.0,0.0,0.0,153.0,70.0,0.0,86.0,31.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1924,1003.0,638.0,263.0,508.0,249.0,424.0,196.0,74.0,0.0,244.0,279.0,69.0,194.0,0.0,181.0,110.0,82.0,0.0,0.0,0.0,107.0,101.0,0.0,0.0,318.0,0.0,39.0,253.0,90.0,27.0,0.0,37.0,0.0,38.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
1928,992.0,664.0,278.0,0.0,227.0,430.0,247.0,90.0,0.0,169.0,219.0,128.0,232.0,0.0,144.0,106.0,124.0,137.0,0.0,0.0,94.0,112.0,0.0,0.0,808.0,0.0,116.0,0.0,74.0,38.0,0.0,63.0,0.0,37.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
1932,522.0,147.0,195.0,44.0,109.0,192.0,166.0,74.0,0.0,90.0,0.0,57.0,65.0,0.0,85.0,70.0,48.0,40.0,0.0,0.0,29.0,41.0,0.0,0.0,1124.0,0.0,52.0,0.0,36.0,34.0,0.0,41.0,0.0,25.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
1936,1007.0,947.0,364.0,162.0,301.0,556.0,348.0,175.0,103.0,210.0,201.0,172.0,256.0,143.0,179.0,140.0,173.0,167.0,0.0,199.0,80.0,142.0,0.0,105.0,813.0,0.0,118.0,0.0,88.0,48.0,0.0,87.0,0.0,42.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
1948,1051.0,1060.0,398.0,216.0,320.0,508.0,318.0,156.0,360.0,229.0,218.0,186.0,207.0,139.0,205.0,154.0,139.0,187.0,0.0,287.0,120.0,156.0,0.0,0.0,471.0,0.0,92.0,0.0,84.0,49.0,0.0,71.0,0.0,45.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0
1952,1344.0,2391.0,483.0,289.0,389.0,509.0,406.0,188.0,378.0,262.0,294.0,227.0,263.0,184.0,249.0,145.0,147.0,157.0,0.0,294.0,142.0,191.0,0.0,0.0,0.0,0.0,96.0,0.0,97.0,44.0,0.0,65.0,0.0,99.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
1956,1013.0,913.0,356.0,219.0,292.0,278.0,258.0,275.0,403.0,195.0,143.0,154.0,298.0,146.0,161.0,179.0,169.0,173.0,0.0,169.0,105.0,96.0,0.0,0.0,0.0,0.0,135.0,0.0,82.0,51.0,0.0,59.0,0.0,76.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0
1960,1312.0,1746.0,630.0,389.0,423.0,601.0,431.0,216.0,320.0,337.0,235.0,290.0,276.0,211.0,281.0,249.0,152.0,236.0,30.0,192.0,172.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,45.0,0.0,71.0,0.0,111.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
1964,1335.0,1484.0,736.0,312.0,451.0,481.0,378.0,332.0,411.0,302.0,214.0,225.0,224.0,167.0,269.0,287.0,270.0,226.0,51.0,189.0,149.0,137.0,72.0,0.0,0.0,179.0,117.0,0.0,102.0,105.0,0.0,88.0,0.0,70.0,0.0,85.0,0.0,32.0,0.0,0.0,0.0,0.0
1968,1345.0,1496.0,1231.0,410.0,483.0,490.0,358.0,344.0,422.0,333.0,273.0,252.0,233.0,203.0,307.0,280.0,250.0,253.0,116.0,191.0,160.0,162.0,0.0,0.0,0.0,206.0,120.0,0.0,109.0,116.0,0.0,96.0,0.0,93.0,0.0,106.0,0.0,41.0,0.0,0.0,0.0,0.0
1972,1686.0,1584.0,1263.0,472.0,526.0,499.0,442.0,335.0,325.0,409.0,269.0,323.0,326.0,359.0,354.0,244.0,208.0,263.0,106.0,190.0,188.0,176.0,166.0,243.0,0.0,231.0,114.0,0.0,124.0,108.0,95.0,68.0,0.0,116.0,0.0,107.0,0.0,40.0,0.0,0.0,0.0,0.0
1976,1297.0,1204.0,1076.0,369.0,392.0,485.0,598.0,395.0,390.0,349.0,202.0,257.0,246.0,340.0,266.0,247.0,217.0,172.0,112.0,213.0,173.0,131.0,154.0,243.0,0.0,216.0,133.0,0.0,105.0,109.0,64.0,105.0,0.0,89.0,0.0,119.0,0.0,34.0,0.0,0.0,0.0,0.0
1980,1268.0,866.0,761.0,267.0,307.0,321.0,488.0,309.0,327.0,270.0,256.0,156.0,122.0,253.0,271.0,296.0,239.0,187.0,159.0,215.0,172.0,132.0,193.0,248.0,0.0,204.0,108.0,0.0,88.0,98.0,67.0,85.0,0.0,79.0,0.0,94.0,0.0,31.0,0.0,0.0,0.0,0.0
1984,1674.0,930.0,1232.0,539.0,475.0,424.0,465.0,477.0,401.0,286.0,246.0,300.0,281.0,299.0,354.0,328.0,239.0,286.0,195.0,213.0,186.0,153.0,212.0,259.0,0.0,208.0,152.0,0.0,101.0,111.0,109.0,114.0,0.0,103.0,0.0,89.0,0.0,28.0,0.0,0.0,86.0,0.0
1988,2062.0,1217.0,1614.0,545.0,518.0,506.0,624.0,528.0,668.0,457.0,270.0,375.0,324.0,388.0,432.0,326.0,265.0,314.0,207.0,236.0,226.0,156.0,243.0,281.0,0.0,239.0,186.0,202.0,108.0,157.0,257.0,129.0,206.0,122.0,0.0,98.0,0.0,75.0,0.0,0.0,76.0,0.0
1992,2054.0,1255.0,1615.0,564.0,566.0,458.0,661.0,717.0,750.0,371.0,272.0,441.0,404.0,587.0,336.0,354.0,267.0,314.0,457.0,236.0,244.0,152.0,433.0,292.0,0.0,231.0,216.0,250.0,112.0,171.0,247.0,133.0,248.0,117.0,124.0,98.0,226.0,78.0,71.0,0.0,89.0,160.0
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,268.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,164.0,0.0,130.0,0.0,0.0,188.0,98.0,0.0,89.0,99.0,0.0,0.0,0.0
1996,2386.0,1397.0,1635.0,612.0,584.0,388.0,621.0,0.0,0.0,401.0,388.0,458.0,343.0,575.0,355.0,0.0,0.0,320.0,0.0,284.0,243.0,153.0,387.0,300.0,0.0,275.0,0.0,246.0,139.0,0.0,218.0,0.0,251.0,32.0,0.0,0.0,263.0,0.0,0.0,0.0,72.0,160.0
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,426.0,0.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,176.0,0.0,145.0,0.0,0.0,190.0,97.0,0.0,92.0,110.0,127.0,0.0,0.0
2000,2468.0,1144.0,1741.0,599.0,621.0,349.0,561.0,0.0,0.0,314.0,391.0,402.0,295.0,448.0,307.0,0.0,0.0,350.0,0.0,286.0,246.0,231.0,398.0,323.0,0.0,279.0,0.0,248.0,238.0,0.0,206.0,0.0,268.0,48.0,0.0,0.0,225.0,0.0,0.0,0.0,117.0,192.0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,468.0,0.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,178.0,0.0,143.0,0.0,0.0,251.0,117.0,0.0,125.0,105.0,118.0,0.0,0.0
2004,2175.0,1151.0,1618.0,558.0,623.0,323.0,559.0,0.0,0.0,342.0,425.0,401.0,371.0,434.0,280.0,0.0,0.0,352.0,0.0,287.0,249.0,255.0,384.0,328.0,0.0,283.0,0.0,252.0,196.0,0.0,212.0,0.0,260.0,64.0,0.0,0.0,200.0,0.0,0.0,0.0,117.0,191.0
