Year,United States,France,Great Britain,Italy,Germany,Canada,Japan,Sweden,Australia,Hungary,Poland,Switzerland,Netherlands,Soviet Union,Finland,Spain,China,Russia,Austria,Norway,Czechoslovakia,South Korea,Romania,Brazil,Belgium,Bulgaria,Denmark,West Germany,Argentina,Greece,Mexico,Yugoslavia,East Germany,Ukraine,Cuba,New Zealand,Czech Republic,Belarus,South Africa,Egypt,Portugal,Kazakhstan,India,Turkey,Ireland,Slovenia,Chinese Taipei,Colombia,Slovakia,Luxembourg
1896,27.0,26.0,23.0,1.0,93.0,0.0,0.0,5.0,4.0,18.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,114.0,679.0,54.0,36.0,41.0,7.0,0.0,24.0,5.0,34.0,0.0,43.0,46.0,0.0,0.0,6.0,0.0,3.0,24.0,29.0,0.0,0.0,1.0,3.0,60.0,0.0,33.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1904,823.0,1.0,6.0,1.0,51.0,15.0,0.0,0.0,6.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1906,81.0,149.0,104.0,47.0,157.0,4.0,0.0,95.0,10.0,99.0,0.0,45.0,49.0,0.0,18.0,0.0,0.0,0.0,100.0,55.0,0.0,0.0,0.0,0.0,27.0,0.0,57.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1908,219.0,293.0,752.0,97.0,142.0,133.0,0.0,263.0,0.0,98.0,0.0,1.0,214.0,0.0,94.0,0.0,0.0,7.0,13.0,89.0,0.0,0.0,0.0,0.0,87.0,0.0,107.0,0.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,364.0,210.0,372.0,96.0,285.0,51.0,4.0,614.0,0.0,194.0,1.0,7.0,45.0,0.0,201.0,0.0,0.0,249.0,127.0,210.0,0.0,0.0,0.0,0.0,67.0,0.0,207.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,8.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,44.0
1920,473.0,437.0,321.0,291.0,0.0,85.0,26.0,385.0,29.0,0.0,0.0,126.0,205.0,0.0,136.0,107.0,0.0,0.0,0.0,208.0,178.0,0.0,0.0,38.0,488.0,0.0,246.0,0.0,1.0,98.0,0.0,15.0,0.0,0.0,0.0,6.0,0.0,0.0,93.0,22.0,40.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
1924,488.0,676.0,449.0,344.0,0.0,100.0,33.0,290.0,61.0,142.0,115.0,289.0,243.0,0.0,282.0,140.0,0.0,3.0,60.0,131.0,269.0,0.0,45.0,18.0,245.0,31.0,151.0,0.0,100.0,79.0,28.0,123.0,0.0,0.0,10.0,6.0,0.0,0.0,44.0,30.0,47.0,0.0,27.0,23.0,56.0,0.0,0.0,0.0,0.0,122.0
1928,447.0,448.0,373.0,278.0,435.0,144.0,66.0,159.0,29.0,230.0,174.0,269.0,384.0,0.0,159.0,101.0,0.0,0.0,147.0,105.0,175.0,0.0,33.0,0.0,271.0,10.0,118.0,0.0,93.0,47.0,60.0,94.0,0.0,0.0,1.0,13.0,0.0,0.0,40.0,43.0,35.0,0.0,24.0,40.0,44.0,0.0,0.0,0.0,0.0,112.0
1932,778.0,165.0,172.0,170.0,213.0,228.0,236.0,140.0,20.0,118.0,93.0,15.0,78.0,0.0,78.0,8.0,2.0,0.0,45.0,41.0,61.0,0.0,8.0,67.0,70.0,2.0,94.0,0.0,47.0,16.0,100.0,1.0,0.0,0.0,3.0,29.0,0.0,0.0,18.0,0.0,8.0,0.0,26.0,2.0,18.0,0.0,0.0,2.0,0.0,11.0
