year,location,frequency,lat,lon
1896,United States,0,39.390897,-99.066067
1900,United States,2,39.390897,-99.066067
1904,United States,18,39.390897,-99.066067
1906,United States,2,39.390897,-99.066067
1908,United States,5,39.390897,-99.066067
1912,United States,8,39.390897,-99.066067
1920,United States,10,39.390897,-99.066067
1924,United States,11,39.390897,-99.066067
1928,United States,10,39.390897,-99.066067
1932,United States,17,39.390897,-99.066067
1936,United States,12,39.390897,-99.066067
1948,United States,11,39.390897,-99.066067
1952,United States,11,39.390897,-99.066067
1956,United States,11,39.390897,-99.066067
1960,United States,11,39.390897,-99.066067
1964,United States,13,39.390897,-99.066067
1968,United States,14,39.390897,-99.066067
1972,United States,15,39.390897,-99.066067
1976,United States,15,39.390897,-99.066067
1980,United States,3,39.390897,-99.066067
1984,United States,18,39.390897,-99.066067
1988,United States,19,39.390897,-99.066067
1992,United States,20,39.390897,-99.066067
1994,United States,5,39.390897,-99.066067
1996,United States,18,39.390897,-99.066067
1998,United States,6,39.390897,-99.066067
2000,United States,16,39.390897,-99.066067
2002,United States,6,39.390897,-99.066067
2004,United States,15,39.390897,-99.066067
2006,United States,6,39.390897,-99.066067
2008,United States,16,39.390897,-99.066067
2010,United States,7,39.390897,-99.066067
2012,United States,15,39.390897,-99.066067
2014,United States,7,39.390897,-99.066067
2016,United States,15,39.390897,-99.066067
1896,France,1,46.623974,2.462247
1900,France,20,46.623974,2.462247
1904,France,0,46.623974,2.462247
1906,France,5,46.623974,2.462247
1908,France,9,46.623974,2.462247
1912,France,7,46.623974,2.462247
1920,France,13,46.623974,2.462247
1924,France,20,46.623974,2.462247
1928,France,14,46.623974,2.462247
1932,France,5,46.623974,2.462247
1936,France,10,46.623974,2.462247
1948,France,14,46.623974,2.462247
1952,France,13,46.623974,2.462247
1956,France,8,46.623974,2.462247
1960,France,13,46.623974,2.462247
1964,France,8,46.623974,2.462247
1968,France,13,46.623974,2.462247
1972,France,13,46.623974,2.462247
1976,France,11,46.623974,2.462247
1980,France,8,46.623974,2.462247
1984,France,13,46.623974,2.462247
1988,France,16,46.623974,2.462247
1992,France,19,46.623974,2.462247
1994,France,5,46.623974,2.462247
1996,France,14,46.623974,2.462247
1998,France,5,46.623974,2.462247
2000,France,14,46.623974,2.462247
2002,France,5,46.623974,2.462247
2004,France,14,46.623974,2.462247
2006,France,5,46.623974,2.462247
2008,France,13,46.623974,2.462247
2010,France,6,46.623974,2.462247
2012,France,13,46.623974,2.462247
2014,France,6,46.623974,2.462247
2016,France,15,46.623974,2.462247
1896,Great Britain,1,-20.06923,146.24235
1900,Great Britain,2,-20.06923,146.24235
1904,Great Britain,0,-20.06923,146.24235
1906,Great Britain,3,-20.06923,146.24235
1908,Great Britain,20,-20.06923,146.24235
1912,Great Britain,10,-20.06923,146.24235
1920,Great Britain,9,-20.06923,146.24235
1924,Great Britain,12,-20.06923,146.24235
1928,Great Britain,10,-20.06923,146.24235
1932,Great Britain,5,-20.06923,146.24235
1936,Great Britain,8,-20.06923,146.24235
1948,Great Britain,17,-20.06923,146.24235
1952,Great Britain,12,-20.06923,146.24235
1956,Great Britain,9,-20.06923,146.24235
1960,Great Britain,12,-20.06923,146.24235
1964,Great Britain,10,-20.06923,146.24235
1968,Great Britain,11,-20.06923,146.24235
1972,Great Britain,13,-20.06923,146.24235
1976,Great Britain,11,-20.06923,146.24235
1980,Great Britain,11,-20.06923,146.24235
1984,Great Britain,16,-20.06923,146.24235
1988,Great Britain,15,-20.06923,146.24235
1992,Great Britain,16,-20.06923,146.24235
1994,Great Britain,1,-20.06923,146.24235
1996,Great Britain,10,-20.06923,146.24235
1998,Great Britain,1,-20.06923,146.24235
2000,Great Britain,11,-20.06923,146.24235
2002,Great Britain,2,-20.06923,146.24235
2004,Great Britain,10,-20.06923,146.24235
2006,Great Britain,2,-20.06923,146.24235
2008,Great Britain,11,-20.06923,146.24235
2010,Great Britain,2,-20.06923,146.24235
2012,Great Britain,18,-20.06923,146.24235
2014,Great Britain,2,-20.06923,146.24235
2016,Great Britain,13,-20.06923,146.24235
1896,Italy,0,43.524673,12.1605
1900,Italy,2,43.524673,12.1605
1904,Italy,0,43.524673,12.1605
1906,Italy,2,43.524673,12.1605
1908,Italy,4,43.524673,12.1605
1912,Italy,4,43.524673,12.1605
1920,Italy,10,43.524673,12.1605
1924,Italy,12,43.524673,12.1605
1928,Italy,10,43.524673,12.1605
1932,Italy,6,43.524673,12.1605
1936,Italy,13,43.524673,12.1605
1948,Italy,13,43.524673,12.1605
1952,Italy,14,43.524673,12.1605
1956,Italy,10,43.524673,12.1605
1960,Italy,16,43.524673,12.1605
1964,Italy,11,43.524673,12.1605
1968,Italy,12,43.524673,12.1605
1972,Italy,14,43.524673,12.1605
1976,Italy,13,43.524673,12.1605
1980,Italy,10,43.524673,12.1605
1984,Italy,16,43.524673,12.1605
1988,Italy,16,43.524673,12.1605
1992,Italy,20,43.524673,12.1605
1994,Italy,6,43.524673,12.1605
1996,Italy,16,43.524673,12.1605
1998,Italy,6,43.524673,12.1605
2000,Italy,16,43.524673,12.1605
2002,Italy,7,43.524673,12.1605
2004,Italy,16,43.524673,12.1605
2006,Italy,9,43.524673,12.1605
2008,Italy,16,43.524673,12.1605
2010,Italy,7,43.524673,12.1605
2012,Italy,13,43.524673,12.1605
2014,Italy,8,43.524673,12.1605
2016,Italy,14,43.524673,12.1605
1896,Germany,3,51.090614,10.382207
1900,Germany,1,51.090614,10.382207
1904,Germany,2,51.090614,10.382207
1906,Germany,4,51.090614,10.382207
1908,Germany,4,51.090614,10.382207
1912,Germany,7,51.090614,10.382207
1920,Germany,0,51.090614,10.382207
1924,Germany,0,51.090614,10.382207
1928,Germany,11,51.090614,10.382207
1932,Germany,6,51.090614,10.382207
1936,Germany,16,51.090614,10.382207
1948,Germany,0,51.090614,10.382207
1952,Germany,11,51.090614,10.382207
1956,Germany,9,51.090614,10.382207
1960,Germany,13,51.090614,10.382207
1964,Germany,15,51.090614,10.382207
1968,Germany,0,51.090614,10.382207
1972,Germany,0,51.090614,10.382207
1976,Germany,0,51.090614,10.382207
1980,Germany,0,51.090614,10.382207
1984,Germany,0,51.090614,10.382207
1988,Germany,0,51.090614,10.382207
1992,Germany,20,51.090614,10.382207
1994,Germany,4,51.090614,10.382207
1996,Germany,16,51.090614,10.382207
1998,Germany,5,51.090614,10.382207
2000,Germany,14,51.090614,10.382207
2002,Germany,6,51.090614,10.382207
2004,Germany,15,51.090614,10.382207
2006,Germany,6,51.090614,10.382207
2008,Germany,14,51.090614,10.382207
2010,Germany,6,51.090614,10.382207
2012,Germany,13,51.090614,10.382207
2014,Germany,6,51.090614,10.382207
2016,Germany,13,51.090614,10.382207
1896,Canada,0,56.511018,-105.908203
1900,Canada,1,56.511018,-105.908203
1904,Canada,1,56.511018,-105.908203
1906,Canada,1,56.511018,-105.908203
1908,Canada,4,56.511018,-105.908203
1912,Canada,2,56.511018,-105.908203
1920,Canada,3,56.511018,-105.908203
1924,Canada,4,56.511018,-105.908203
1928,Canada,5,56.511018,-105.908203
1932,Canada,7,56.511018,-105.908203
1936,Canada,7,56.511018,-105.908203
1948,Canada,7,56.511018,-105.908203
1952,Canada,7,56.511018,-105.908203
1956,Canada,6,56.511018,-105.908203
1960,Canada,7,56.511018,-105.908203
1964,Canada,8,56.511018,-105.908203
1968,Canada,12,56.511018,-105.908203
1972,Canada,13,56.511018,-105.908203
1976,Canada,19,56.511018,-105.908203
1980,Canada,3,56.511018,-105.908203
1984,Canada,20,56.511018,-105.908203
1988,Canada,20,56.511018,-105.908203
1992,Canada,19,56.511018,-105.908203
1994,Canada,4,56.511018,-105.908203
1996,Canada,12,56.511018,-105.908203
1998,Canada,6,56.511018,-105.908203
2000,Canada,13,56.511018,-105.908203
2002,Canada,6,56.511018,-105.908203
2004,Canada,12,56.511018,-105.908203
2006,Canada,9,56.511018,-105.908203
2008,Canada,14,56.511018,-105.908203
2010,Canada,9,56.511018,-105.908203
2012,Canada,11,56.511018,-105.908203
2014,Canada,10,56.511018,-105.908203
2016,Canada,12,56.511018,-105.908203
1896,Japan,0,36.652302,138.192093
1900,Japan,0,36.652302,138.192093
1904,Japan,0,36.652302,138.192093
1906,Japan,0,36.652302,138.192093
1908,Japan,0,36.652302,138.192093
1912,Japan,1,36.652302,138.192093
1920,Japan,1,36.652302,138.192093
1924,Japan,2,36.652302,138.192093
1928,Japan,3,36.652302,138.192093
1932,Japan,9,36.652302,138.192093
1936,Japan,14,36.652302,138.192093
1948,Japan,0,36.652302,138.192093
1952,Japan,6,36.652302,138.192093
1956,Japan,10,36.652302,138.192093
1960,Japan,14,36.652302,138.192093
1964,Japan,20,36.652302,138.192093
1968,Japan,15,36.652302,138.192093
1972,Japan,16,36.652302,138.192093
1976,Japan,16,36.652302,138.192093
1980,Japan,4,36.652302,138.192093
