Year,Aeronautics,Alpine Skiing,Alpinism,Archery,Art Competitions,Athletics,Badminton,Baseball,Basketball,Basque Pelota,Beach Volleyball,Biathlon,Bobsleigh,Boxing,Canoeing,Cricket,Croquet,Cross Country Skiing,Curling,Cycling,Diving,Equestrianism,Fencing,Figure Skating,Football,Freestyle Skiing,Golf,Gymnastics,Handball,Hockey,Ice Hockey,Jeu De Paume,Judo,Lacrosse,Luge,Military Ski Patrol,Modern Pentathlon,Motorboating,Nordic Combined,Polo,Racquets,Rhythmic Gymnastics,Roque,Rowing,Rugby,Rugby Sevens,Sailing,Shooting,Short Track Speed Skating,Skeleton,Ski Jumping,Snowboarding,Softball,Speed Skating,Swimming,Synchronized Swimming,Table Tennis,Taekwondo,Tennis,Trampolining,Triathlon,Tug-Of-War,Volleyball,Water Polo,Weightlifting,Wrestling
1896,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0
1900,0.0,0.0,0.0,32.0,0.0,234.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,19.0,0.0,0.0,92.0,0.0,79.0,317.0,0.0,35.0,0.0,22.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,133.0,47.0,0.0,280.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,47.0,0.0,0.0,12.0,0.0,53.0,0.0,0.0
1904,0.0,0.0,0.0,70.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,61.0,5.0,0.0,28.0,0.0,36.0,0.0,105.0,458.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,57.0,0.0,0.0,30.0,0.0,21.0,7.0,48.0
1906,0.0,0.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,24.0,0.0,161.0,0.0,45.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,48.0,0.0,0.0,32.0,0.0,0.0,22.0,39.0
1908,0.0,0.0,0.0,77.0,0.0,778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,269.0,47.0,0.0,240.0,23.0,72.0,0.0,0.0,349.0,0.0,68.0,0.0,11.0,0.0,24.0,0.0,0.0,0.0,17.0,0.0,12.0,12.0,0.0,0.0,87.0,30.0,0.0,64.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,84.0,0.0,0.0,40.0,0.0,28.0,0.0,133.0
1912,0.0,0.0,0.0,0.0,33.0,962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,86.0,128.0,379.0,0.0,163.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,109.0,794.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,173.0,0.0,0.0,16.0,0.0,45.0,0.0,170.0
1920,0.0,0.0,0.0,86.0,11.0,849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,212.0,70.0,132.0,350.0,31.0,190.0,0.0,0.0,263.0,0.0,51.0,60.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,17.0,0.0,0.0,0.0,144.0,31.0,0.0,101.0,838.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,153.0,0.0,0.0,40.0,0.0,101.0,53.0,161.0
1924,0.0,0.0,21.0,0.0,318.0,1003.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,181.0,0.0,0.0,0.0,74.0,16.0,249.0,90.0,194.0,424.0,37.0,279.0,0.0,0.0,638.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,24.0,38.0,0.0,30.0,24.0,0.0,0.0,0.0,196.0,54.0,0.0,69.0,508.0,0.0,0.0,27.0,0.0,0.0,110.0,263.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,101.0,107.0,244.0
1928,0.0,0.0,0.0,0.0,808.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,144.0,0.0,0.0,0.0,90.0,0.0,227.0,74.0,232.0,430.0,63.0,219.0,0.0,0.0,664.0,0.0,137.0,124.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,35.0,0.0,0.0,0.0,0.0,247.0,0.0,0.0,128.0,0.0,0.0,10.0,38.0,0.0,0.0,106.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,94.0,169.0
1932,0.0,0.0,2.0,0.0,1124.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,85.0,0.0,0.0,0.0,74.0,0.0,109.0,36.0,65.0,192.0,41.0,0.0,0.0,0.0,147.0,0.0,40.0,48.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,33.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,57.0,44.0,0.0,0.0,34.0,0.0,0.0,70.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,29.0,90.0
1936,1.0,103.0,2.0,0.0,813.0,1007.0,0.0,0.0,199.0,0.0,0.0,0.0,118.0,179.0,143.0,0.0,0.0,175.0,0.0,301.0,88.0,256.0,556.0,87.0,201.0,0.0,0.0,947.0,105.0,167.0,173.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,51.0,21.0,0.0,0.0,0.0,348.0,0.0,0.0,172.0,162.0,0.0,0.0,48.0,0.0,0.0,140.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,80.0,210.0
1948,0.0,360.0,0.0,0.0,471.0,1051.0,0.0,0.0,287.0,0.0,0.0,0.0,92.0,205.0,139.0,0.0,0.0,156.0,0.0,320.0,84.0,207.0,508.0,71.0,218.0,0.0,0.0,1060.0,0.0,187.0,139.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,39.0,0.0,0.0,0.0,0.0,318.0,0.0,0.0,186.0,216.0,0.0,15.0,49.0,0.0,0.0,154.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,120.0,229.0
