year,word,frequency
1896,Robert Tait McKenzie,0
1900,Robert Tait McKenzie,0
1904,Robert Tait McKenzie,0
1906,Robert Tait McKenzie,0
1908,Robert Tait McKenzie,0
1912,Robert Tait McKenzie,1
1920,Robert Tait McKenzie,0
1924,Robert Tait McKenzie,0
1928,Robert Tait McKenzie,4
1932,Robert Tait McKenzie,20
1936,Robert Tait McKenzie,3
1948,Robert Tait McKenzie,1
1952,Robert Tait McKenzie,0
1956,Robert Tait McKenzie,0
1960,Robert Tait McKenzie,0
1964,Robert Tait McKenzie,0
1968,Robert Tait McKenzie,0
1972,Robert Tait McKenzie,0
1976,Robert Tait McKenzie,0
1980,Robert Tait McKenzie,0
1984,Robert Tait McKenzie,0
1988,Robert Tait McKenzie,0
1992,Robert Tait McKenzie,0
1994,Robert Tait McKenzie,0
1996,Robert Tait McKenzie,0
1998,Robert Tait McKenzie,0
2000,Robert Tait McKenzie,0
2002,Robert Tait McKenzie,0
2004,Robert Tait McKenzie,0
2006,Robert Tait McKenzie,0
2008,Robert Tait McKenzie,0
2010,Robert Tait McKenzie,0
2012,Robert Tait McKenzie,0
2014,Robert Tait McKenzie,0
2016,Robert Tait McKenzie,0
1896,Heikki Ilmari Savolainen,0
1900,Heikki Ilmari Savolainen,0
1904,Heikki Ilmari Savolainen,0
1906,Heikki Ilmari Savolainen,0
1908,Heikki Ilmari Savolainen,0
1912,Heikki Ilmari Savolainen,0
1920,Heikki Ilmari Savolainen,0
1924,Heikki Ilmari Savolainen,0
1928,Heikki Ilmari Savolainen,18
1932,Heikki Ilmari Savolainen,20
1936,Heikki Ilmari Savolainen,20
1948,Heikki Ilmari Savolainen,20
1952,Heikki Ilmari Savolainen,20
1956,Heikki Ilmari Savolainen,0
1960,Heikki Ilmari Savolainen,0
1964,Heikki Ilmari Savolainen,0
1968,Heikki Ilmari Savolainen,0
1972,Heikki Ilmari Savolainen,0
1976,Heikki Ilmari Savolainen,0
1980,Heikki Ilmari Savolainen,0
1984,Heikki Ilmari Savolainen,0
1988,Heikki Ilmari Savolainen,0
1992,Heikki Ilmari Savolainen,0
1994,Heikki Ilmari Savolainen,0
1996,Heikki Ilmari Savolainen,0
1998,Heikki Ilmari Savolainen,0
2000,Heikki Ilmari Savolainen,0
2002,Heikki Ilmari Savolainen,0
2004,Heikki Ilmari Savolainen,0
2006,Heikki Ilmari Savolainen,0
2008,Heikki Ilmari Savolainen,0
2010,Heikki Ilmari Savolainen,0
2012,Heikki Ilmari Savolainen,0
2014,Heikki Ilmari Savolainen,0
2016,Heikki Ilmari Savolainen,0
1896,"Joseph ""Josy"" Stoffel",0
1900,"Joseph ""Josy"" Stoffel",0
1904,"Joseph ""Josy"" Stoffel",0
1906,"Joseph ""Josy"" Stoffel",0
1908,"Joseph ""Josy"" Stoffel",0
1912,"Joseph ""Josy"" Stoffel",0
1920,"Joseph ""Josy"" Stoffel",0
1924,"Joseph ""Josy"" Stoffel",0
1928,"Joseph ""Josy"" Stoffel",0
1932,"Joseph ""Josy"" Stoffel",0
1936,"Joseph ""Josy"" Stoffel",0
1948,"Joseph ""Josy"" Stoffel",20
1952,"Joseph ""Josy"" Stoffel",20
1956,"Joseph ""Josy"" Stoffel",18
1960,"Joseph ""Josy"" Stoffel",20
1964,"Joseph ""Josy"" Stoffel",18
1968,"Joseph ""Josy"" Stoffel",0
1972,"Joseph ""Josy"" Stoffel",0
1976,"Joseph ""Josy"" Stoffel",0
1980,"Joseph ""Josy"" Stoffel",0
1984,"Joseph ""Josy"" Stoffel",0
1988,"Joseph ""Josy"" Stoffel",0
1992,"Joseph ""Josy"" Stoffel",0
1994,"Joseph ""Josy"" Stoffel",0
1996,"Joseph ""Josy"" Stoffel",0
1998,"Joseph ""Josy"" Stoffel",0
2000,"Joseph ""Josy"" Stoffel",0
2002,"Joseph ""Josy"" Stoffel",0
2004,"Joseph ""Josy"" Stoffel",0
2006,"Joseph ""Josy"" Stoffel",0
2008,"Joseph ""Josy"" Stoffel",0
2010,"Joseph ""Josy"" Stoffel",0
2012,"Joseph ""Josy"" Stoffel",0
2014,"Joseph ""Josy"" Stoffel",0
2016,"Joseph ""Josy"" Stoffel",0
1896,Ioannis Theofilakis,4
1900,Ioannis Theofilakis,0
1904,Ioannis Theofilakis,0
1906,Ioannis Theofilakis,5
1908,Ioannis Theofilakis,7
1912,Ioannis Theofilakis,20
1920,Ioannis Theofilakis,19
1924,Ioannis Theofilakis,7
1928,Ioannis Theofilakis,0
1932,Ioannis Theofilakis,0
1936,Ioannis Theofilakis,0
1948,Ioannis Theofilakis,0
1952,Ioannis Theofilakis,0
1956,Ioannis Theofilakis,0
1960,Ioannis Theofilakis,0
1964,Ioannis Theofilakis,0
1968,Ioannis Theofilakis,0
1972,Ioannis Theofilakis,0
1976,Ioannis Theofilakis,0
1980,Ioannis Theofilakis,0
1984,Ioannis Theofilakis,0
1988,Ioannis Theofilakis,0
1992,Ioannis Theofilakis,0
1994,Ioannis Theofilakis,0
1996,Ioannis Theofilakis,0
1998,Ioannis Theofilakis,0
2000,Ioannis Theofilakis,0
2002,Ioannis Theofilakis,0
2004,Ioannis Theofilakis,0
2006,Ioannis Theofilakis,0
2008,Ioannis Theofilakis,0
2010,Ioannis Theofilakis,0
2012,Ioannis Theofilakis,0
2014,Ioannis Theofilakis,0
2016,Ioannis Theofilakis,0
1896,Takashi Ono,0
1900,Takashi Ono,0
1904,Takashi Ono,0
1906,Takashi Ono,0
1908,Takashi Ono,0
1912,Takashi Ono,0
1920,Takashi Ono,0
1924,Takashi Ono,0
1928,Takashi Ono,0
1932,Takashi Ono,0
1936,Takashi Ono,0
1948,Takashi Ono,0
1952,Takashi Ono,20
1956,Takashi Ono,20
1960,Takashi Ono,20
1964,Takashi Ono,20
1968,Takashi Ono,0
1972,Takashi Ono,0
1976,Takashi Ono,0
1980,Takashi Ono,0
1984,Takashi Ono,0
1988,Takashi Ono,0
1992,Takashi Ono,0
1994,Takashi Ono,0
1996,Takashi Ono,0
1998,Takashi Ono,0
2000,Takashi Ono,0
2002,Takashi Ono,0
2004,Takashi Ono,0
2006,Takashi Ono,0
2008,Takashi Ono,3
2010,Takashi Ono,0
2012,Takashi Ono,0
2014,Takashi Ono,0
2016,Takashi Ono,0
1896,Alexandros Theofilakis,2
1900,Alexandros Theofilakis,0
1904,Alexandros Theofilakis,0
1906,Alexandros Theofilakis,20
1908,Alexandros Theofilakis,10
1912,Alexandros Theofilakis,12
1920,Alexandros Theofilakis,12
1924,Alexandros Theofilakis,8
1928,Alexandros Theofilakis,0
1932,Alexandros Theofilakis,0
1936,Alexandros Theofilakis,0
1948,Alexandros Theofilakis,0
1952,Alexandros Theofilakis,0
1956,Alexandros Theofilakis,0
1960,Alexandros Theofilakis,0
1964,Alexandros Theofilakis,0
1968,Alexandros Theofilakis,0
1972,Alexandros Theofilakis,0
1976,Alexandros Theofilakis,0
1980,Alexandros Theofilakis,0
1984,Alexandros Theofilakis,0
1988,Alexandros Theofilakis,0
1992,Alexandros Theofilakis,0
1994,Alexandros Theofilakis,0
1996,Alexandros Theofilakis,0
1998,Alexandros Theofilakis,0
2000,Alexandros Theofilakis,0
