Year,Robert Tait McKenzie,Heikki Ilmari Savolainen,"Joseph ""Josy"" Stoffel",Ioannis Theofilakis,Takashi Ono,Alexandros Theofilakis,Jean Lucien Nicolas Jacoby,Andreas Wecker,Alfrd (Arnold-) Hajs (Guttmann-),Alfred James Munnings,United States,France,Great Britain,Italy,Germany,Canada,Japan,Sweden,Australia,Hungary,London,Athina,Sydney,Atlanta,Rio de Janeiro,Beijing,Barcelona,Los Angeles,Seoul,Munich,Athletics,Gymnastics,Swimming,Shooting,Cycling,Fencing,Rowing,Cross Country Skiing,Alpine Skiing,Wrestling,Football Men's Football,Ice Hockey Men's Ice Hockey,Hockey Men's Hockey,Water Polo Men's Water Polo,Basketball Men's Basketball,"Cycling Men's Road Race, Individual",Gymnastics Men's Individual All-Around,Rowing Men's Coxed Eights,Gymnastics Men's Team All-Around,Handball Men's Handball
1896,0,0,0,3.333333333,0,2,0,0,1.428571429,0,0,0.737463127,0.455764075,0,2.268292683,0,0,0.16286645,0.104986877,0.880195599,0,0.565349996,0,0,0,0,0,0,0,0,0.845295056,0.811375993,0.205831904,1.551312649,1.229385307,0.499168053,0,0,0,0.218818381,0,0,0,0,0,0.765027322,0,0,0,0
1900,0,0,0,0,0,0,0,0,0,0,1.914191419,20,1.286863271,1.186440678,1,0.210526316,0,0.781758958,0.131233596,1.662591687,0,0,0,0,0,0,0,0,0,0,1.866028708,1.12923463,1.497998856,5.274463007,2.75862069,10.54908486,4.024205749,0,0,0,2.380952381,0,0,5.54973822,0,0,14.59459459,6.518518519,0,0
1904,0,0,0,0,0,0,0,0,0,0,17.51375138,0,0,0,1.243902439,0.45112782,0,0,0.157480315,0.4400978,0,0,0,0,0,0,0,0,0,0,1.602870813,3.831033041,0.73184677,0,1.829085457,0.931780366,1.39183056,0,0,2.100656455,2.448979592,0,0,2.19895288,0,0,12.64864865,2.666666667,6.141732283,0
1906,0,0,0,5,0,20,0,0,0,0,1.188118812,4.365781711,2.627345845,1.559322034,3.829268293,0.120300752,0,3.094462541,0.262467192,4.841075795,0,2.578293536,0,0,0,0,0,0,0,0,3.74800638,1.30489335,0.89193825,7.637231504,4.137931034,5.357737105,6.051437216,0,0,1.70678337,3.06122449,0,0,0,0,2.62295082,2.702702703,0,6.062992126,0
1908,0,0,0,6.666666667,0,10,0,0,0,0,4.224422442,8.613569322,20,3.254237288,3.463414634,4,0,8.566775244,0,4.792176039,4.800309598,0,0,0,0,0,0,0,0,0,6.20414673,2.919280636,1.715265866,10.59665871,8.065967016,7.986688852,2.632375189,0,0,5.820568928,4.897959184,0,5.171102662,2.931937173,0,0,10.27027027,8,20,0
1912,0.454545455,0,0,20,0,12,0,0,0,0,7.414741474,6.16519174,9.81233244,3.220338983,6.951219512,1.533834586,0.150659134,20,0,9.486552567,0,0,0,0,0,0,0,0,0,0,7.671451356,2.593057298,2.298456261,18.94988067,7.256371814,12.61231281,5.960665658,0,0,7.439824945,11.08843537,0,0,4.712041885,0,13.44262295,4.756756757,14.66666667,7.165354331,0
1920,0,0,0,18.33333333,0,12,0,0,0,0,9.812981298,12.86135693,8.445040214,9.830508475,0,2.556390977,0.979284369,12.54071661,0.761154856,0,0,0,0,0,0,0,0,0,0,0,6.770334928,2.199916353,2.389937107,20,6.356821589,11.64725458,4.357034796,0,0,7.04595186,12.92517007,3.846153846,3.878326996,10.57591623,0,5.027322404,2.702702703,10.66666667,9.448818898,0
1924,0,0,0,6.666666667,0,8,1.176470588,0,0.714285714,0,10.1430143,19.91150442,11.8766756,11.62711864,0,3.007518797,1.242937853,9.446254072,1.601049869,6.943765281,0,0,0,0,0,0,0,0,0,0,7.998405104,5.336679214,3.007432819,12.12410501,7.466266867,14.10981697,5.930408472,1.822660099,0,10.67833698,18.97959184,5.256410256,0,10.57591623,0,7.759562842,7.783783784,13.33333333,5.669291339,0
1928,3.181818182,17.5,0,0,0,0,7.058823529,0,20,4,9.240924092,13.18584071,9.839142091,9.389830508,10.6097561,4.330827068,2.485875706,5.179153094,0.761154856,11.24694377,0,0,0,0,0,0,0,0,0,0,7.910685805,5.554161439,3.178959405,0,6.806596702,14.30948419,7.473524962,2.216748768,0,7.396061269,14.89795918,7.948717949,10.41825095,11.72774869,0,8.196721311,9.513513514,14.66666667,6.929133858,0
1932,20,20,0,0,0,0,9.411764706,0,0.714285714,0.8,16.52365237,4.837758112,4.450402145,5.728813559,5.195121951,6.857142857,8.888888889,4.560260586,0.524934383,5.770171149,0,0,0,0,0,0,0,6.280939285,0,0,4.162679426,1.229611041,2.229845626,1.050119332,3.268365817,6.389351082,5.02269289,1.822660099,0,3.938730853,0,3.076923077,3.041825095,4.293193717,0,3.825136612,2.594594595,10.66666667,1.88976378,0
